region,provincia,comune,PRO_COM2011,data_elezioni,elettori,votanti,voti_non_validi,schede_bianche,totalevotilista,totaleseggi,DCtotalevoti,DCtotaleseggi,PSItotalevoti,PSItotaleseggi,PCItotalevoti,PCItotaleseggi,OtherParties_voti,OtherParties_seggi
Puglia,Lecce,Neviano,75053,07/06/1970,3914,3035,143,85,2892,20,1992,14,172,1,326,2,402,3
Puglia,Lecce,Novoli,75055,07/06/1970,6278,5504,192,100,5312,20,2326,9,528,2,803,3,1655,6
Puglia,Lecce,Parabita,75059,07/06/1970,6011,4855,182,125,4673,20,3743,17,217,1,288,1,425,1
Puglia,Lecce,Poggiardo,75061,07/06/1970,3695,3025,111,79,2914,20,1523,11,933,6,172,1,286,2
Puglia,Lecce,Ruffano,75064,07/06/1970,5589,4339,289,125,4050,20,2022,10,873,4,232,1,923,5
Puglia,Lecce,Salice Salentino,75065,07/06/1970,4983,4262,140,69,4122,20,1807,10,858,4,705,3,752,3
Puglia,Lecce,Salve,75066,07/06/1970,3476,2487,87,52,2400,20,1066,9,485,4,95,0,754,7
Puglia,Lecce,San Cesario di Lecce,75068,07/06/1970,4727,4272,210,118,4062,20,1154,6,822,4,0,0,2086,10
Puglia,Lecce,Scorrano,75073,07/06/1970,3315,2829,90,48,2739,20,1167,9,110,0,517,4,945,7
Puglia,Lecce,Surbo,75083,07/06/1970,4730,4368,195,103,4173,20,1854,9,1044,5,559,3,716,3
Puglia,Lecce,Taurisano,75084,07/06/1970,5420,4282,183,77,4099,20,1310,7,395,2,880,5,1514,6
Puglia,Lecce,Taviano,75085,07/06/1970,6210,5395,133,92,5262,20,3045,12,388,1,1739,7,90,0
Puglia,Lecce,Tuglie,75089,07/06/1970,4026,3150,103,81,3047,20,1997,13,0,0,741,5,309,2
Puglia,Taranto,Crispiano,73004,07/06/1970,5605,5014,149,69,4865,20,1664,7,578,2,0,0,2623,11
Puglia,Taranto,Fragagnano,73006,07/06/1970,3286,2753,64,41,2689,20,1337,11,1032,8,119,0,201,1
